time,generation solar
2015-01-05 17:00:00,2944
2015-01-05 18:00:00,1971
2015-01-05 19:00:00,958
2015-01-05 20:00:00,605
2015-01-05 21:00:00,518
2015-01-05 22:00:00,394
2015-01-05 23:00:00,626
2015-01-06 00:00:00,624
2015-01-06 01:00:00,616
2015-01-06 02:00:00,582
2015-01-06 03:00:00,576
2015-01-06 04:00:00,499
2015-01-06 05:00:00,415
2015-01-06 06:00:00,412
2015-01-06 07:00:00,1168
2015-01-06 08:00:00,3018
2015-01-06 09:00:00,4129
2015-01-06 10:00:00,4642
2015-01-06 11:00:00,4976
2015-01-06 12:00:00,5044
2015-01-06 13:00:00,4887
2015-01-06 14:00:00,4641
2015-01-06 15:00:00,4279
2015-01-06 16:00:00,3824
2015-01-06 17:00:00,3132
2015-01-06 18:00:00,2383
2015-01-06 19:00:00,1586
2015-01-06 20:00:00,891
2015-01-06 21:00:00,696
2015-01-06 22:00:00,669
2015-01-06 23:00:00,1280
2015-01-07 00:00:00,1253
2015-01-07 01:00:00,1231
2015-01-07 02:00:00,1223
2015-01-07 03:00:00,1189
2015-01-07 04:00:00,1142
2015-01-07 05:00:00,1043
2015-01-07 06:00:00,979
2015-01-07 07:00:00,1336
2015-01-07 08:00:00,2121
2015-01-07 09:00:00,2841
2015-01-07 10:00:00,3556
2015-01-07 11:00:00,3756
2015-01-07 12:00:00,3639
2015-01-07 13:00:00,4133
2015-01-07 14:00:00,4896
2015-01-07 15:00:00,4647
2015-01-07 16:00:00,4184
2015-01-07 17:00:00,3631
2015-01-07 18:00:00,2772
2015-01-07 19:00:00,2013
2015-01-07 20:00:00,1193
2015-01-07 21:00:00,636
2015-01-07 22:00:00,573
2015-01-07 23:00:00,433
2015-01-08 00:00:00,391
2015-01-08 01:00:00,352
2015-01-08 02:00:00,328
2015-01-08 03:00:00,327
2015-01-08 04:00:00,320
2015-01-08 05:00:00,265
2015-01-08 06:00:00,223
2015-01-08 07:00:00,708
2015-01-08 08:00:00,2225
2015-01-08 09:00:00,3943
2015-01-08 10:00:00,4514
2015-01-08 11:00:00,4926
2015-01-08 12:00:00,5067
2015-01-08 13:00:00,5092
2015-01-08 14:00:00,5019
2015-01-08 15:00:00,4803
2015-01-08 16:00:00,4507
2015-01-08 17:00:00,4010
2015-01-08 18:00:00,3321
2015-01-08 19:00:00,2089
2015-01-08 20:00:00,957
2015-01-08 21:00:00,721
2015-01-08 22:00:00,691
2015-01-08 23:00:00,39
2015-01-09 00:00:00,38
2015-01-09 01:00:00,37
2015-01-09 02:00:00,37
2015-01-09 03:00:00,36
2015-01-09 04:00:00,41
2015-01-09 05:00:00,45
2015-01-09 06:00:00,58
2015-01-09 07:00:00,317
2015-01-09 08:00:00,1107
2015-01-09 09:00:00,2133
2015-01-09 10:00:00,3193
2015-01-09 11:00:00,3932
2015-01-09 12:00:00,4156
2015-01-09 13:00:00,4285
2015-01-09 14:00:00,4135
2015-01-09 15:00:00,3883
2015-01-09 16:00:00,3513
2015-01-09 17:00:00,3253
2015-01-09 18:00:00,2403
2015-01-09 19:00:00,1060
2015-01-09 20:00:00,530
2015-01-09 21:00:00,444
2015-01-09 22:00:00,386
2015-01-09 23:00:00,384
2015-01-10 00:00:00,167
2015-01-10 01:00:00,102
2015-01-10 02:00:00,103
2015-01-10 03:00:00,102
2015-01-10 04:00:00,102
2015-01-10 05:00:00,102
2015-01-10 06:00:00,103
2015-01-10 07:00:00,233
2015-01-10 08:00:00,1209
2015-01-10 09:00:00,2927
2015-01-10 10:00:00,4515
2015-01-10 11:00:00,5044
2015-01-10 12:00:00,5107
2015-01-10 13:00:00,4900
2015-01-10 14:00:00,4463
2015-01-10 15:00:00,4215
2015-01-10 16:00:00,3756
2015-01-10 17:00:00,2857
2015-01-10 18:00:00,1303
2015-01-10 19:00:00,633
2015-01-10 20:00:00,510
2015-01-10 21:00:00,497
2015-01-10 22:00:00,466
2015-01-10 23:00:00,26
2015-01-11 00:00:00,25
2015-01-11 01:00:00,25
2015-01-11 02:00:00,25
2015-01-11 03:00:00,25
2015-01-11 04:00:00,25
2015-01-11 05:00:00,23
2015-01-11 06:00:00,35
2015-01-11 07:00:00,394
2015-01-11 08:00:00,1228
2015-01-11 09:00:00,2045
2015-01-11 10:00:00,2423
2015-01-11 11:00:00,2437
2015-01-11 12:00:00,2022
2015-01-11 13:00:00,1630
2015-01-11 14:00:00,1334
2015-01-11 15:00:00,860
2015-01-11 16:00:00,254
2015-01-11 17:00:00,57
2015-01-11 18:00:00,54
2015-01-11 19:00:00,55
2015-01-11 20:00:00,34
2015-01-11 21:00:00,31
2015-01-11 22:00:00,31
2015-01-11 23:00:00,44
2015-01-12 00:00:00,42
2015-01-12 01:00:00,42
2015-01-12 02:00:00,42
2015-01-12 03:00:00,42
2015-01-12 04:00:00,42
2015-01-12 05:00:00,42
2015-01-12 06:00:00,45
2015-01-12 07:00:00,157
2015-01-12 08:00:00,1104
2015-01-12 09:00:00,2190
2015-01-12 10:00:00,3012
2015-01-12 11:00:00,3262
2015-01-12 12:00:00,3208
2015-01-12 13:00:00,3027
2015-01-12 14:00:00,2630
2015-01-12 15:00:00,1615
2015-01-12 16:00:00,422
2015-01-12 17:00:00,86
2015-01-12 18:00:00,63
2015-01-12 19:00:00,56
2015-01-12 20:00:00,44
2015-01-12 21:00:00,42
2015-01-12 22:00:00,42
2015-01-12 23:00:00,32
2015-01-13 00:00:00,32
2015-01-13 01:00:00,32
2015-01-13 02:00:00,32
2015-01-13 03:00:00,32
2015-01-13 04:00:00,32
2015-01-13 05:00:00,32
2015-01-13 06:00:00,37
2015-01-13 07:00:00,56
2015-01-13 08:00:00,516
2015-01-13 09:00:00,1475
2015-01-13 10:00:00,2284
2015-01-13 11:00:00,2857
2015-01-13 12:00:00,3217
2015-01-13 13:00:00,3253
2015-01-13 14:00:00,3084
2015-01-13 15:00:00,2475
2015-01-13 16:00:00,1187
2015-01-13 17:00:00,303
2015-01-13 18:00:00,98
2015-01-13 19:00:00,80
2015-01-13 20:00:00,44
2015-01-13 21:00:00,44
2015-01-13 22:00:00,35
2015-01-13 23:00:00,28
2015-01-14 00:00:00,28
2015-01-14 01:00:00,27
2015-01-14 02:00:00,27
2015-01-14 03:00:00,27
2015-01-14 04:00:00,27
2015-01-14 05:00:00,27
2015-01-14 06:00:00,32
2015-01-14 07:00:00,39
2015-01-14 08:00:00,411
2015-01-14 09:00:00,1258
2015-01-14 10:00:00,1960
2015-01-14 11:00:00,2480
2015-01-14 12:00:00,2688
2015-01-14 13:00:00,2683
2015-01-14 14:00:00,2420
2015-01-14 15:00:00,2003
2015-01-14 16:00:00,905
2015-01-14 17:00:00,213
2015-01-14 18:00:00,112
2015-01-14 19:00:00,79
2015-01-14 20:00:00,32
2015-01-14 21:00:00,31
2015-01-14 22:00:00,31
2015-01-14 23:00:00,31
2015-01-15 00:00:00,31
2015-01-15 01:00:00,31
2015-01-15 02:00:00,31
2015-01-15 03:00:00,31
2015-01-15 04:00:00,31
2015-01-15 05:00:00,31
2015-01-15 06:00:00,33
2015-01-15 07:00:00,50
2015-01-15 08:00:00,562
2015-01-15 09:00:00,1336
2015-01-15 10:00:00,1984
2015-01-15 11:00:00,2287
2015-01-15 12:00:00,2274
2015-01-15 13:00:00,2062
2015-01-15 14:00:00,1593
2015-01-15 15:00:00,939
2015-01-15 16:00:00,287
2015-01-15 17:00:00,67
2015-01-15 18:00:00,62
2015-01-15 19:00:00,61
2015-01-15 20:00:00,59
2015-01-15 21:00:00,59
2015-01-15 22:00:00,59
2015-01-15 23:00:00,59
2015-01-16 00:00:00,59
2015-01-16 01:00:00,59
2015-01-16 02:00:00,59
2015-01-16 03:00:00,59
2015-01-16 04:00:00,59
2015-01-16 05:00:00,59
2015-01-16 06:00:00,59
2015-01-16 07:00:00,40
2015-01-16 08:00:00,352
2015-01-16 09:00:00,1229
2015-01-16 10:00:00,1855
2015-01-16 11:00:00,2270
2015-01-16 12:00:00,2466
2015-01-16 13:00:00,2388
2015-01-16 14:00:00,2126
2015-01-16 15:00:00,1652
2015-01-16 16:00:00,773
2015-01-16 17:00:00,222
2015-01-16 18:00:00,99
2015-01-16 19:00:00,88
2015-01-16 20:00:00,75
2015-01-16 21:00:00,75
2015-01-16 22:00:00,75
2015-01-16 23:00:00,75
2015-01-17 00:00:00,74
2015-01-17 01:00:00,57
2015-01-17 02:00:00,38
2015-01-17 03:00:00,38
2015-01-17 04:00:00,38
2015-01-17 05:00:00,37
2015-01-17 06:00:00,37
2015-01-17 07:00:00,62
2015-01-17 08:00:00,771
2015-01-17 09:00:00,1914
2015-01-17 10:00:00,2804
2015-01-17 11:00:00,3408
2015-01-17 12:00:00,3584
2015-01-17 13:00:00,3496
2015-01-17 14:00:00,3203
2015-01-17 15:00:00,2515
2015-01-17 16:00:00,1121
2015-01-17 17:00:00,233
