time,generation fossil gas
2015-01-05 17:00:00,4003
2015-01-05 18:00:00,4181
2015-01-05 19:00:00,4607
2015-01-05 20:00:00,5329
2015-01-05 21:00:00,5682
2015-01-05 22:00:00,5699
2015-01-05 23:00:00,4359
2015-01-06 00:00:00,4502
2015-01-06 01:00:00,4393
2015-01-06 02:00:00,4386
2015-01-06 03:00:00,4453
2015-01-06 04:00:00,4589
2015-01-06 05:00:00,4818
2015-01-06 06:00:00,4862
2015-01-06 07:00:00,5143
2015-01-06 08:00:00,4842
2015-01-06 09:00:00,4604
2015-01-06 10:00:00,4475
2015-01-06 11:00:00,4376
2015-01-06 12:00:00,4512
2015-01-06 13:00:00,4178
2015-01-06 14:00:00,4035
2015-01-06 15:00:00,3821
2015-01-06 16:00:00,4059
2015-01-06 17:00:00,4472
2015-01-06 18:00:00,4553
2015-01-06 19:00:00,4490
2015-01-06 20:00:00,4664
2015-01-06 21:00:00,4684
2015-01-06 22:00:00,4728
2015-01-06 23:00:00,4659
2015-01-07 00:00:00,4199
2015-01-07 01:00:00,4448
2015-01-07 02:00:00,4157
2015-01-07 03:00:00,4001
2015-01-07 04:00:00,4219
2015-01-07 05:00:00,4338
2015-01-07 06:00:00,4954
2015-01-07 07:00:00,5447
2015-01-07 08:00:00,5881
2015-01-07 09:00:00,6076
2015-01-07 10:00:00,5726
2015-01-07 11:00:00,5583
2015-01-07 12:00:00,5637
2015-01-07 13:00:00,5684
2015-01-07 14:00:00,6098
2015-01-07 15:00:00,6242
2015-01-07 16:00:00,6056
2015-01-07 17:00:00,5839
2015-01-07 18:00:00,6477
2015-01-07 19:00:00,6316
2015-01-07 20:00:00,5881
2015-01-07 21:00:00,5785
2015-01-07 22:00:00,5519
2015-01-07 23:00:00,4178
2015-01-08 00:00:00,3912
2015-01-08 01:00:00,3718
2015-01-08 02:00:00,3768
2015-01-08 03:00:00,3707
2015-01-08 04:00:00,3706
2015-01-08 05:00:00,3946
2015-01-08 06:00:00,3890
2015-01-08 07:00:00,4066
2015-01-08 08:00:00,4535
2015-01-08 09:00:00,4441
2015-01-08 10:00:00,4513
2015-01-08 11:00:00,4654
2015-01-08 12:00:00,4760
2015-01-08 13:00:00,4591
2015-01-08 14:00:00,4964
2015-01-08 15:00:00,5046
2015-01-08 16:00:00,4899
2015-01-08 17:00:00,4677
2015-01-08 18:00:00,4606
2015-01-08 19:00:00,4805
2015-01-08 20:00:00,4932
2015-01-08 21:00:00,5136
2015-01-08 22:00:00,5209
2015-01-08 23:00:00,5410
2015-01-09 00:00:00,4445
2015-01-09 01:00:00,4287
2015-01-09 02:00:00,4223
2015-01-09 03:00:00,4178
2015-01-09 04:00:00,4283
2015-01-09 05:00:00,4444
2015-01-09 06:00:00,5068
2015-01-09 07:00:00,5684
2015-01-09 08:00:00,6295
2015-01-09 09:00:00,6674
2015-01-09 10:00:00,6918
2015-01-09 11:00:00,6848
2015-01-09 12:00:00,6954
2015-01-09 13:00:00,7022
2015-01-09 14:00:00,6520
2015-01-09 15:00:00,6377
2015-01-09 16:00:00,6247
2015-01-09 17:00:00,6189
2015-01-09 18:00:00,5975
2015-01-09 19:00:00,6141
2015-01-09 20:00:00,6476
2015-01-09 21:00:00,5953
2015-01-09 22:00:00,5207
2015-01-09 23:00:00,5151
